date,reading_in,source
2026-09-02,0.405,project rain gauge at the boathouse
2026-09-03,0.235,project rain gauge at the boathouse
2026-09-04,0.065,project rain gauge at the boathouse
2026-09-05,0.000,project rain gauge at the boathouse
2026-09-06,0.000,project rain gauge at the boathouse
2026-09-07,0.000,project rain gauge at the boathouse
2026-09-08,0.000,project rain gauge at the boathouse
2026-09-09,0.000,project rain gauge at the boathouse
2026-09-10,0.100,project rain gauge at the boathouse
2026-09-11,0.000,project rain gauge at the boathouse
2026-09-12,0.000,project rain gauge at the boathouse
2026-09-13,1.200,project rain gauge at the boathouse
2026-09-14,0.540,project rain gauge at the boathouse
